run_id,samples,n_episodes,Neg Q,probtest Q
87,2995,15000,0.01,0.0
87,2995,20000,0.009,0.0
87,2995,25000,0.0107,0.0
88,2995,15000,0.0093,0.0
88,2995,20000,0.0077,0.0
88,2995,25000,0.008,0.0
89,2995,15000,0.0073,0.0
89,2995,20000,0.0083,0.0
89,2995,25000,0.0033,0.0
90,2995,15000,0.0063,0.0
90,2995,20000,0.011,0.0
90,2995,25000,0.0087,0.0
91,2995,15000,0.0114,0.0
91,2995,20000,0.014,0.0
91,2995,25000,0.0043,0.0
92,2995,15000,0.0083,0.0
92,2995,20000,0.0097,0.0
92,2995,25000,0.005,0.0
93,2995,15000,0.006,0.0
93,2995,20000,0.006,0.0
93,2995,25000,0.0073,0.0
94,2995,15000,0.007,0.0
94,2995,20000,0.0047,0.0
94,2995,25000,0.0083,0.0
95,2995,15000,0.0077,0.0
95,2995,20000,0.0114,0.0
95,2995,25000,0.007,0.0
96,2995,15000,0.0063,0.0
96,2995,20000,0.0083,0.0
96,2995,25000,0.0037,0.0
97,2995,15000,0.007,0.0
97,2995,20000,0.0093,0.0
97,2995,25000,0.005,0.0
98,2995,15000,0.0053,0.0
98,2995,20000,0.007,0.0
98,2995,25000,0.005,0.0
99,2995,15000,0.0047,0.0
99,2995,20000,0.0077,0.0
99,2995,25000,0.011,0.0
