run_id,samples,n_episodes,Neg Q1,Neg Q2
4,200,40,0.0,0.21
4,200,50,0.0,0.0
4,200,60,0.0,0.005
4,200,70,0.0,0.0
4,200,80,0.0,0.0
4,200,90,0.0,0.0
4,200,100,0.0,0.0
4,300,10,0.5733,0.0067
4,300,20,0.1067,0.0933
4,300,30,0.0133,0.7567
4,300,40,0.0,0.2033
4,300,50,0.0,0.0067
4,300,60,0.0,0.0
4,300,70,0.0,0.0
4,300,80,0.0,0.0067
4,300,90,0.0,0.0033
4,300,100,0.0,0.0
4,3000,10,0.5353,0.0107
4,3000,20,0.1143,0.097
4,3000,30,0.0197,0.7063
4,3000,40,0.0,0.2227
4,3000,50,0.0,0.001
4,3000,60,0.0,0.0017
4,3000,70,0.0,0.0027
4,3000,80,0.0,0.002
4,3000,90,0.0,0.0017
4,3000,100,0.0,0.0023
4,2000,10,0.535,0.0135
4,2000,20,0.133,0.095
4,2000,30,0.018,0.715
4,2000,40,0.0,0.2175
4,2000,50,0.0,0.002
4,2000,60,0.0,0.0025
4,2000,70,0.0,0.001
4,2000,80,0.0,0.003
4,2000,90,0.0,0.0
4,2000,100,0.0,0.0015
5,200,10,0.58,0.01
5,200,20,0.135,0.075
5,200,30,0.01,0.68
5,200,40,0.0,0.18
5,200,50,0.0,0.0
5,200,60,0.0,0.0
5,200,70,0.0,0.0
5,200,80,0.0,0.0
5,200,90,0.0,0.0
5,200,100,0.0,0.005
5,300,10,0.4833,0.01
5,300,20,0.0767,0.0767
5,300,30,0.0267,0.7433
5,300,40,0.0,0.1867
5,300,50,0.0,0.0
5,300,60,0.0,0.0067
5,300,70,0.0,0.01
5,300,80,0.0,0.0
5,300,90,0.0,0.0
5,300,100,0.0,0.0
5,3000,10,0.5243,0.0127
5,3000,20,0.112,0.092
5,3000,30,0.0123,0.7227
5,3000,40,0.0,0.23
5,3000,50,0.0,0.002
5,3000,60,0.0,0.0033
5,3000,70,0.0,0.0013
5,3000,80,0.0,0.0013
5,3000,90,0.0,0.0013
5,3000,100,0.0,0.002
5,2000,10,0.5335,0.008
5,2000,20,0.1095,0.1055
5,2000,30,0.0185,0.72
5,2000,40,0.0,0.2215
5,2000,50,0.0,0.0005
5,2000,60,0.0,0.0
5,2000,70,0.0,0.001
5,2000,80,0.0,0.0035
5,2000,90,0.0,0.003
5,2000,100,0.0,0.0015
6,200,10,0.535,0.01
6,200,20,0.13,0.07
6,200,30,0.005,0.76
6,200,40,0.0,0.225
6,200,50,0.0,0.0
6,200,60,0.0,0.0
6,200,70,0.0,0.0
6,200,80,0.0,0.005
6,200,90,0.0,0.0
6,200,100,0.0,0.005
