run_id,samples,n_episodes,Neg Q1,Neg Q2,ProbTest Q1 (holds),ProbTest Q2 (holds)
9,3000,80,0.0,0.001,1.0,0.0
9,3000,90,0.0,0.002,1.0,0.0
9,3000,100,0.0,0.0023,1.0,0.0
9,2000,10,0.5184,0.009,0.0,0.0
9,2000,20,0.1605,0.0915,0.0,0.0
9,2000,30,0.0234,0.7169,0.0,0.0
9,2000,40,0.0,0.2277,1.0,0.0
9,2000,50,0.0,0.0017,1.0,0.0
9,2000,60,0.0,0.0023,1.0,0.0
9,2000,70,0.0,0.0017,1.0,0.0
9,2000,80,0.0,0.0007,1.0,0.0
9,2000,90,0.0,0.002,1.0,0.0
9,2000,100,0.0,0.001,1.0,0.0
10,200,10,0.5518,0.011,0.0,0.0
10,200,20,0.0702,0.0962,0.0,0.0
10,200,30,0.0067,0.7165,0.0,0.0
10,200,40,0.0,0.2347,1.0,0.0
10,200,50,0.0,0.0027,1.0,0.0
10,200,60,0.0,0.0017,1.0,0.0
10,200,70,0.0,0.002,1.0,0.0
10,200,80,0.0,0.0013,1.0,0.0
10,200,90,0.0,0.0,1.0,1.0
10,200,100,0.0,0.0017,1.0,0.0
10,300,10,0.5117,0.0083,0.0,0.0
10,300,20,0.1271,0.0995,0.0,0.0
10,300,30,0.0201,0.7235,0.0,0.0
10,300,40,0.0,0.2274,1.0,0.0
10,300,50,0.0,0.0037,1.0,0.0
10,300,60,0.0,0.002,1.0,0.0
10,300,70,0.0,0.0027,1.0,0.0
10,300,80,0.0,0.0033,1.0,0.0
10,300,90,0.0,0.0017,1.0,0.0
10,300,100,0.0,0.001,1.0,0.0
10,3000,10,0.5217,0.0134,0.0,0.0
10,3000,20,0.1237,0.0871,0.0,0.0
10,3000,30,0.0033,0.7102,0.0,0.0
10,3000,40,0.0,0.207,1.0,0.0
10,3000,50,0.0,0.002,1.0,0.0
10,3000,60,0.0,0.002,1.0,0.0
10,3000,70,0.0,0.0007,1.0,0.0
10,3000,80,0.0,0.001,1.0,0.0
10,3000,90,0.0,0.0013,1.0,0.0
10,3000,100,0.0,0.0017,1.0,0.0
10,2000,10,0.495,0.0114,0.0,0.0
10,2000,20,0.1237,0.0861,0.0,0.0
10,2000,30,0.0201,0.7195,0.0,0.0
10,2000,40,0.0,0.2357,1.0,0.0
10,2000,50,0.0,0.002,1.0,0.0
10,2000,60,0.0,0.002,1.0,0.0
10,2000,70,0.0,0.002,1.0,0.0
10,2000,80,0.0,0.0,1.0,1.0
10,2000,90,0.0,0.0007,1.0,0.0
10,2000,100,0.0,0.0017,1.0,0.0
11,200,10,0.5518,0.01,0.0,0.0
11,200,20,0.1104,0.0965,0.0,0.0
11,200,30,0.01,0.7042,0.0,0.0
11,200,40,0.0,0.2234,1.0,0.0
11,200,50,0.0,0.0023,1.0,0.0
11,200,60,0.0,0.001,1.0,0.0
11,200,70,0.0,0.0003,1.0,0.0
11,200,80,0.0,0.0023,1.0,0.0
11,200,90,0.0,0.002,1.0,0.0
11,200,100,0.0,0.0007,1.0,0.0
11,300,10,0.5151,0.009,0.0,0.0
11,300,20,0.107,0.0915,0.0,0.0
11,300,30,0.0234,0.7142,0.0,0.0
11,300,40,0.0,0.2287,1.0,0.0
11,300,50,0.0,0.0007,1.0,0.0
11,300,60,0.0,0.002,1.0,0.0
11,300,70,0.0,0.0003,1.0,0.0
11,300,80,0.0,0.002,1.0,0.0
11,300,90,0.0,0.002,1.0,0.0
11,300,100,0.0,0.001,1.0,0.0
11,3000,10,0.5452,0.0077,0.0,0.0
11,3000,20,0.0936,0.0965,0.0,0.0
11,3000,30,0.0301,0.7265,0.0,0.0
11,3000,40,0.0,0.2107,1.0,0.0
11,3000,50,0.0,0.0033,1.0,0.0
11,3000,60,0.0,0.001,1.0,0.0
11,3000,70,0.0,0.0013,1.0,0.0
11,3000,80,0.0,0.001,1.0,0.0
11,3000,90,0.0,0.0013,1.0,0.0
11,3000,100,0.0,0.0017,1.0,0.0
11,2000,10,0.5017,0.0107,0.0,0.0
11,2000,20,0.1171,0.0955,0.0,0.0
11,2000,30,0.0268,0.7262,0.0,0.0
